日期,AQI指数
,
2014/8/17,44
,
2014/8/18,38
,
2014/8/19,37
,
2014/8/20,60
,
2014/8/21,78
,
2014/8/23,76
,
2014/8/24,59
,
2014/8/25,52
,
2014/8/26,79
,
2014/8/27,59
,
2014/8/28,77
,
2014/8/29,48
,
2014/8/30,62
,
2014/8/31,78
,
2014/9/1,63
,
2014/9/2,62
,
2014/9/3,40
,
2014/9/4,57
,
2014/9/5,70
,
2014/9/6,91
,
2014/9/7,96
,
2014/9/8,83
,
2014/9/9,94
,
2014/9/10,51
,
2014/9/11,73
,
2014/9/12,54
,
2014/9/13,35
,
2014/9/14,51
,
2014/9/15,64
,
2014/9/16,59
,
2014/9/17,69
,
2014/9/18,48
,
2014/9/19,25
,
2014/9/20,53
,
2014/9/21,71
,
2014/9/22,51
,
2014/9/23,51
,
2014/9/24,46
,
2014/9/25,68
,
2014/9/26,116
,
2014/9/27,146
,
2014/9/28,133
,
2014/9/29,83
,
2014/9/30,42
,
2014/10/1,61
,
2014/10/2,66
,
2014/10/3,66
,
2014/10/4,72
,
2014/10/5,68
,
2014/10/6,83
,
2014/10/7,93
,
2014/10/8,85
,
2014/10/9,83
,
2014/10/10,93
,
2014/10/11,88
,
2014/10/12,131
,
2014/10/13,211
,
2014/10/14,117
,
2014/10/15,155
,
2014/10/16,131
,
2014/10/17,126
,
2014/10/18,112
,
2014/10/19,123
,
2014/10/20,150
,
2014/10/21,112
,
2014/10/22,50
,
2014/10/23,82
,
2014/10/24,106
,
2014/10/25,146
,
2014/10/26,144
,
2014/10/27,122
,
2014/10/28,133
,
2014/10/29,100
,
2014/10/30,69
,
2014/10/31,39
,
2014/11/1,79
,
2014/11/2,80
,
2014/11/3,57
,
2014/11/4,87
,
2014/11/5,116
,
2014/11/6,88
,
2014/11/7,112
,
2014/11/8,45
,
2014/11/9,56
,
2014/11/10,69
,
2014/11/11,67
,
2014/11/12,66
,
2014/11/13,70
,
2014/11/14,76
,
2014/11/15,76
,
2014/11/16,85
,
2014/11/17,88
,
2014/11/18,64
,
2014/11/19,87
,
2014/11/20,130
,
2014/11/21,144
,
2014/11/22,92
,
2014/11/23,161
,
2014/11/24,88
,
2014/11/25,17
,
2014/11/26,38
,
2014/11/27,54
,
2014/11/28,31
,
2014/11/29,65
,
2014/11/30,25
,
2014/12/1,76
,
2014/12/2,61
,
2014/12/3,42
,
2014/12/4,53
,
2014/12/5,57
,
2014/12/6,50
,
2014/12/7,59
,
2014/12/8,80
,
2014/12/9,67
,
2014/12/10,58
,
2014/12/11,66
,
2014/12/12,65
,
2014/12/13,68
,
2014/12/14,75
,
2014/12/15,68
,
2014/12/16,60
,
2014/12/17,34
,
2014/12/18,50
,
2014/12/19,67
,
2014/12/20,87
,
2014/12/21,55
,
2014/12/22,60
,
2014/12/23,84
,
2014/12/24,90
,
2014/12/25,108
,
2014/12/26,78
,
2014/12/27,71
,
2014/12/28,73
,
2014/12/29,92
,
2014/12/30,109
,
2014/12/31,115
,
2015/1/1,42
,
2015/1/2,58
,
2015/1/3,79
,
2015/1/4,131
,
2015/1/5,118
,
2015/1/6,102
,
2015/1/7,58
,
2015/1/8,76
,
2015/1/9,91
,
2015/1/10,119
,
2015/1/11,125
,
2015/1/12,107
,
2015/1/13,74
,
2015/1/14,63
,
2015/1/15,51
,
2015/1/16,87
,
2015/1/17,120
,
2015/1/18,131
,
2015/1/19,107
,
2015/1/20,105
,
2015/1/21,120
,
2015/1/22,90
,
2015/1/23,99
,
2015/1/24,111
,
2015/1/25,126
,
2015/1/26,202
,
2015/1/27,83
,
2015/1/28,22
,
2015/1/29,16
,
2015/1/30,47
,
2015/1/31,102
,
2015/2/1,63
,
2015/2/2,60
,
2015/2/3,62
,
2015/2/4,93
,
2015/2/5,114
,
2015/2/6,72
,
2015/2/7,107
,
